Data,,,,,,,,,,,,,
Time,Conductivity,Temperature,Pressure,Temperature,Dissolved O2 concentration,PAR,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Dissolved O2 saturation,Density anomaly
2025-03-24 13:58:26.000,0.0012,21.2114,10.1044,21.2849,249.4212,0.0048,-0.028,-0.0278,0.0105,1486.0294,1.2759,89.9877,
2025-03-24 13:58:28.000,0.0011,21.2141,10.1045,21.2872,249.6524,0.0021,-0.0279,-0.0277,0.0104,1486.0376,1.1548,90.0759,
2025-03-24 13:58:30.000,0.0011,21.2175,10.1047,21.2879,249.5509,0.007,-0.0277,-0.0275,0.0104,1486.0474,1.1536,90.0451,
2025-03-24 13:58:31.000,0.0011,21.214,10.1047,21.2895,249.8502,0.0012,-0.0277,-0.0275,0.0104,1486.0373,1.2141,90.1471,
2025-03-24 13:58:33.000,0.0012,21.2171,10.1048,21.2901,250.37,0.0021,-0.0277,-0.0275,0.0105,1486.0462,1.2747,90.34,
2025-03-24 13:58:34.000,0.0013,21.2195,10.1047,21.2913,249.7454,0.0042,-0.0278,-0.0275,0.0105,1486.0536,1.3754,90.119,
2025-03-24 13:58:36.000,0.0012,21.2206,10.1049,21.2927,250.0799,0.0033,-0.0275,-0.0273,0.0105,1486.0567,1.2742,90.2416,
2025-03-24 13:58:38.000,0.0011,21.2218,10.1049,21.2933,249.6886,0.0021,-0.0276,-0.0273,0.0104,1486.0605,1.1936,90.1026,
2025-03-24 13:58:39.000,0.0011,21.2219,10.105,21.2943,250.2103,0.0057,-0.0274,-0.0272,0.0104,1486.0608,1.1326,90.291,
2025-03-24 13:58:41.000,0.0012,21.2239,10.1051,21.295,249.983,0.0021,-0.0274,-0.0272,0.0105,1486.0666,1.2543,90.2125,
2025-03-24 13:58:42.000,0.0014,21.2272,10.105,21.296,248.96,0.0027,-0.0274,-0.0272,0.0105,1486.0762,1.4561,89.849,
2025-03-24 13:58:44.000,0.0012,21.226,10.1048,21.2973,249.9984,0.0042,-0.0276,-0.0274,0.0105,1486.0728,1.2936,90.2217,
2025-03-24 13:58:46.000,0.0012,21.2278,10.105,21.2977,249.6812,-0.0003,-0.0275,-0.0273,0.0105,1486.078,1.3336,90.1103,
2025-03-24 13:58:47.000,0.0012,21.2295,10.105,21.2987,249.8324,0.0012,-0.0275,-0.0273,0.0105,1486.083,1.2531,90.1679,
2025-03-24 13:58:49.000,0.0013,21.2302,10.1049,21.2993,250.4153,0.0021,-0.0275,-0.0273,0.0105,1486.0852,1.3542,90.3796,
2025-03-24 13:58:50.000,0.0013,21.2319,10.1051,21.3005,249.7264,0.0021,-0.0273,-0.0271,0.0105,1486.0905,1.4545,90.134,
2025-03-24 13:58:52.000,0.0011,21.2298,10.105,21.3016,250.0533,0.0033,-0.0275,-0.0272,0.0105,1486.0841,1.2119,90.2482,
2025-03-24 13:58:54.000,0.0013,21.2322,10.105,21.3021,249.3954,0.0006,-0.0275,-0.0272,0.0105,1486.0911,1.4332,90.0149,
