%Eco Export
%
%
%Title,20250228_Porpoise pool
%
%Data ID,38F5D99A-5610-46DF-8BCE-D3C2ED8B16A8
%User ID,B6FF73A9-E9FB-4AA2-9F40-347EE851EDFB
%Instrument ID,Eco_0713
%Firmware version,8008.8
%Created,"2/28/2025 1:36:02 PM",Local time
%Start Time,"2/24/2025 2:12:30 PM",Local time
%End time,"2/28/2025 1:20:30 PM",Local time
%Time zone offset,-60,min
%Latitude,0,deg
%Longitude,0,deg
%Magnetic declination,0,deg
%Salinity,17,ppt
%Device depth,3.2,m
%Upper layer depth,1.5,m
%middle-layer-depth,2,m
%Lower layer depth,2.85,m
%Avg speed,0.05,m/s
%Avg direction,184.32,deg
%Measurement counts,2855
%Measurement interval,2,min
%Processor version,1.1.16.0,
%processed,"2/28/2025 1:03:27 PM",utc
%
%Time,Upper speed,Upper direction,Middle speed,Middle direction,Lower speed,Lower direction,Temperature,Depth,Tilt
%(Local time),m/s,deg,m/s,deg,m/s,deg,degC,m,deg
"2/24/2025 2:12:30 PM",Nan,Nan,Nan,Nan,Nan,Nan,15.87,0.00,5.33
"2/24/2025 2:14:30 PM",Nan,Nan,Nan,Nan,Nan,Nan,15.58,0.00,23.04
"2/24/2025 2:16:30 PM",Nan,Nan,Nan,Nan,Nan,Nan,15.30,0.00,13.60
"2/24/2025 2:18:30 PM",Nan,Nan,Nan,Nan,Nan,Nan,12.72,0.75,11.64
"2/24/2025 2:20:30 PM",Nan,Nan,Nan,Nan,Nan,Nan,7.16,1.25,10.29
"2/24/2025 2:22:30 PM",Nan,Nan,0.03,25.71,0.01,341.57,5.52,2.51,12.66
"2/24/2025 2:24:30 PM",Nan,Nan,0.01,328.39,0.03,267.71,5.31,2.51,12.69
"2/24/2025 2:26:30 PM",Nan,Nan,0.04,25.11,0.02,36.38,5.22,2.51,12.70
"2/24/2025 2:28:30 PM",Nan,Nan,0.02,24.23,0.04,4.18,4.94,2.51,12.71
"2/24/2025 2:30:30 PM",Nan,Nan,0.03,316.47,0.04,310.31,4.73,2.50,12.71
"2/24/2025 2:32:30 PM",Nan,Nan,0.02,120.96,0.04,308.16,4.67,2.50,12.71
"2/24/2025 2:34:30 PM",Nan,Nan,0.02,109.98,0.03,244.29,4.62,2.50,12.71
"2/24/2025 2:36:30 PM",Nan,Nan,0.03,5.91,0.02,323.13,4.54,2.50,12.71
"2/24/2025 2:38:30 PM",Nan,Nan,0.03,16.26,0.04,304.11,4.48,2.50,12.72
"2/24/2025 2:40:30 PM",Nan,Nan,0.01,90.00,0.02,295.35,4.43,2.49,12.73
"2/24/2025 2:42:30 PM",Nan,Nan,0.03,6.91,0.03,22.75,4.39,2.48,12.73
"2/24/2025 2:44:30 PM",Nan,Nan,0.03,343.30,0.04,325.41,4.35,2.48,12.73
"2/24/2025 2:46:30 PM",Nan,Nan,0.01,17.10,0.01,338.96,4.32,2.48,12.73
"2/24/2025 2:48:30 PM",Nan,Nan,0.04,22.99,0.03,311.35,4.31,2.47,12.74
"2/24/2025 2:50:30 PM",Nan,Nan,0.05,353.66,0.06,354.81,4.27,2.48,12.74
"2/24/2025 2:52:30 PM",Nan,Nan,0.02,54.46,0.01,216.03,4.26,2.48,12.75
"2/24/2025 2:54:30 PM",Nan,Nan,0.03,37.87,0.03,322.43,4.25,2.46,12.75
"2/24/2025 2:56:30 PM",Nan,Nan,0.01,48.81,0.03,315.00,4.25,2.47,12.75
"2/24/2025 2:58:30 PM",Nan,Nan,0.03,25.64,0.04,329.26,4.22,2.47,12.75
"2/24/2025 3:00:30 PM",Nan,Nan,0.04,63.43,0.00,333.43,4.22,2.46,12.76
"2/24/2025 3:02:30 PM",Nan,Nan,0.05,319.90,0.05,334.86,4.22,2.46,12.76
"2/24/2025 3:04:30 PM",Nan,Nan,0.05,344.74,0.06,320.86,4.20,2.47,12.75
"2/24/2025 3:06:30 PM",Nan,Nan,0.04,131.76,0.06,241.14,4.20,2.46,12.76
"2/24/2025 3:08:30 PM",Nan,Nan,0.04,34.99,0.04,350.31,4.20,2.47,12.76
"2/24/2025 3:10:30 PM",Nan,Nan,0.05,322.13,0.07,319.48,4.19,2.47,12.76
"2/24/2025 3:12:30 PM",Nan,Nan,0.02,317.49,0.03,306.47,4.19,2.47,12.76
"2/24/2025 3:14:30 PM",Nan,Nan,0.05,36.87,0.04,343.18,4.18,2.47,12.76
"2/24/2025 3:16:30 PM",Nan,Nan,0.04,358.53,0.06,316.97,4.17,2.48,12.76
"2/24/2025 3:18:30 PM",Nan,Nan,0.02,26.57,0.04,308.23,4.18,2.47,12.76
"2/24/2025 3:20:30 PM",Nan,Nan,0.02,349.70,0.07,315.00,4.17,2.47,12.76
"2/24/2025 3:22:30 PM",Nan,Nan,0.02,348.69,0.04,289.75,4.17,2.46,12.76
"2/24/2025 3:24:30 PM",Nan,Nan,0.02,18.43,0.06,323.75,4.16,2.46,12.77
"2/24/2025 3:26:30 PM",Nan,Nan,0.03,342.90,0.05,336.50,4.16,2.46,12.77
"2/24/2025 3:28:30 PM",Nan,Nan,0.03,5.04,0.07,343.07,4.16,2.46,12.76
"2/24/2025 3:30:30 PM",Nan,Nan,0.01,0.00,0.04,283.24,4.15,2.46,12.77
"2/24/2025 3:32:30 PM",Nan,Nan,0.03,349.88,0.04,322.52,4.15,2.46,12.77
"2/24/2025 3:34:30 PM",Nan,Nan,0.01,36.87,0.04,313.09,4.15,2.46,12.77
"2/24/2025 3:36:30 PM",Nan,Nan,0.04,355.36,0.05,319.27,4.16,2.46,12.77
"2/24/2025 3:38:30 PM",Nan,Nan,0.02,59.04,0.03,357.71,4.15,2.46,12.77
"2/24/2025 3:40:30 PM",Nan,Nan,0.01,323.13,0.05,343.07,4.15,2.46,12.77
"2/24/2025 3:42:30 PM",Nan,Nan,0.02,337.17,0.05,334.40,4.15,2.46,12.77
"2/24/2025 3:44:30 PM",Nan,Nan,0.03,351.38,0.05,318.18,4.15,2.46,12.77
"2/24/2025 3:46:30 PM",Nan,Nan,0.03,332.65,0.02,325.62,4.14,2.46,12.77
"2/24/2025 3:48:30 PM",Nan,Nan,0.02,255.26,0.04,260.27,4.15,2.46,12.77
"2/24/2025 3:50:30 PM",Nan,Nan,0.02,12.26,0.05,349.16,4.14,2.46,12.77
"2/24/2025 3:52:30 PM",Nan,Nan,0.04,345.26,0.04,304.05,4.14,2.47,12.77
"2/24/2025 3:54:30 PM",Nan,Nan,0.03,281.31,0.04,315.00,4.14,2.46,12.77
"2/24/2025 3:56:30 PM",Nan,Nan,0.06,355.24,0.06,15.42,4.13,2.47,12.77
"2/24/2025 3:58:30 PM",Nan,Nan,0.00,284.04,0.04,298.39,4.12,2.47,12.77
"2/24/2025 4:00:30 PM",Nan,Nan,0.04,335.90,0.05,330.71,4.12,2.46,12.77
"2/24/2025 4:02:30 PM",Nan,Nan,0.03,270.00,0.04,274.40,4.11,2.47,12.77
"2/24/2025 4:04:30 PM",Nan,Nan,0.02,249.15,0.01,191.31,4.12,2.47,12.77
"2/24/2025 4:06:30 PM",Nan,Nan,0.05,4.40,0.04,1.59,4.12,2.47,12.78
"2/24/2025 4:08:30 PM",Nan,Nan,0.03,358.32,0.03,340.46,4.12,2.47,12.77
"2/24/2025 4:10:30 PM",Nan,Nan,0.02,323.75,0.04,309.29,4.11,2.47,12.77
"2/24/2025 4:12:30 PM",Nan,Nan,0.03,285.07,0.04,331.70,4.10,2.47,12.78
"2/24/2025 4:14:30 PM",Nan,Nan,0.01,36.87,0.04,331.07,4.10,2.46,12.78
"2/24/2025 4:16:30 PM",Nan,Nan,0.03,15.26,0.06,331.03,4.10,2.46,12.78
"2/24/2025 4:18:30 PM",Nan,Nan,0.02,322.43,0.04,309.29,4.10,2.46,12.78
"2/24/2025 4:20:30 PM",Nan,Nan,0.02,339.44,0.03,293.20,4.09,2.46,12.77
"2/24/2025 4:22:30 PM",Nan,Nan,0.03,46.64,0.04,319.57,4.09,2.46,12.77
"2/24/2025 4:24:30 PM",Nan,Nan,0.04,24.10,0.05,11.73,4.09,2.46,12.77
"2/24/2025 4:26:30 PM",Nan,Nan,0.04,0.00,0.06,318.53,4.08,2.46,12.77
"2/24/2025 4:28:30 PM",Nan,Nan,0.01,26.57,0.04,331.50,4.08,2.47,12.76
"2/24/2025 4:30:30 PM",Nan,Nan,0.03,32.47,0.03,317.39,4.08,2.46,12.76
"2/24/2025 4:32:30 PM",Nan,Nan,0.03,6.91,0.02,298.07,4.08,2.47,12.76
"2/24/2025 4:34:30 PM",Nan,Nan,0.05,11.73,0.05,342.26,4.08,2.47,12.77
"2/24/2025 4:36:30 PM",Nan,Nan,0.01,71.57,0.04,325.12,4.07,2.47,12.77
"2/24/2025 4:38:30 PM",Nan,Nan,0.04,72.07,0.04,7.31,4.07,2.47,12.77
"2/24/2025 4:40:30 PM",Nan,Nan,0.02,309.47,0.06,352.28,4.07,2.47,12.77
"2/24/2025 4:42:30 PM",Nan,Nan,0.05,1.19,0.04,344.48,4.06,2.47,12.77
"2/24/2025 4:44:30 PM",Nan,Nan,0.03,321.63,0.05,303.37,4.06,2.48,12.77
"2/24/2025 4:46:30 PM",Nan,Nan,0.02,49.40,0.04,349.46,4.06,2.48,12.77
"2/24/2025 4:48:30 PM",Nan,Nan,0.03,69.68,0.01,281.31,4.06,2.48,12.77
"2/24/2025 4:50:30 PM",Nan,Nan,0.04,9.93,0.03,326.31,4.06,2.49,12.77
"2/24/2025 4:52:30 PM",Nan,Nan,0.03,23.50,0.04,323.97,4.05,2.49,12.77
"2/24/2025 4:54:30 PM",Nan,Nan,0.03,302.47,0.05,287.10,4.05,2.48,12.77
"2/24/2025 4:56:30 PM",Nan,Nan,0.01,195.26,0.04,319.84,4.05,2.48,12.77
"2/24/2025 4:58:30 PM",Nan,Nan,0.01,327.53,0.03,277.59,4.05,2.49,12.77
"2/24/2025 5:00:30 PM",Nan,Nan,0.01,329.74,0.03,316.55,4.05,2.50,12.77
"2/24/2025 5:02:30 PM",Nan,Nan,0.03,3.95,0.04,320.71,4.05,2.50,12.77
"2/24/2025 5:04:30 PM",Nan,Nan,0.05,357.66,0.03,325.84,4.05,2.50,12.77
"2/24/2025 5:06:30 PM",Nan,Nan,0.01,345.96,0.03,316.55,4.05,2.50,12.77
"2/24/2025 5:08:30 PM",Nan,Nan,0.02,29.05,0.01,342.90,4.05,2.51,12.77
"2/24/2025 5:10:30 PM",Nan,Nan,0.02,341.57,0.04,358.45,4.05,2.50,12.77
"2/24/2025 5:12:30 PM",Nan,Nan,0.01,308.66,0.03,306.16,4.05,2.51,12.77
"2/24/2025 5:14:30 PM",Nan,Nan,0.04,341.57,0.02,315.00,4.05,2.51,12.77
"2/24/2025 5:16:30 PM",Nan,Nan,0.03,329.42,0.05,348.23,4.05,2.51,12.77
"2/24/2025 5:18:30 PM",Nan,Nan,0.02,279.87,0.04,311.88,4.05,2.51,12.77
"2/24/2025 5:20:30 PM",Nan,Nan,0.02,171.47,0.03,222.51,4.06,2.51,12.77
"2/24/2025 5:22:30 PM",Nan,Nan,0.03,327.38,0.04,335.90,4.06,2.52,12.77
"2/24/2025 5:24:30 PM",Nan,Nan,0.01,14.04,0.02,334.98,4.06,2.52,12.77
"2/24/2025 5:26:30 PM",Nan,Nan,0.04,341.57,0.02,300.96,4.06,2.53,12.77
"2/24/2025 5:28:30 PM",Nan,Nan,0.01,218.66,0.03,304.29,4.06,2.54,12.77
"2/24/2025 5:30:30 PM",Nan,Nan,0.01,66.04,0.03,304.70,4.06,2.54,12.78
"2/24/2025 5:32:30 PM",Nan,Nan,0.04,263.66,0.05,345.07,4.06,2.54,12.76
"2/24/2025 5:34:30 PM",Nan,Nan,0.02,293.63,0.04,294.44,4.07,2.54,12.76
"2/24/2025 5:36:30 PM",Nan,Nan,0.02,329.93,0.03,289.54,4.06,2.54,12.76
"2/24/2025 5:38:30 PM",Nan,Nan,0.01,233.13,0.01,321.34,4.07,2.54,12.75
"2/24/2025 5:40:30 PM",Nan,Nan,0.01,77.91,0.03,310.36,4.07,2.55,12.75
"2/24/2025 5:42:30 PM",Nan,Nan,0.00,270.00,0.03,276.91,4.07,2.55,12.75
"2/24/2025 5:44:30 PM",Nan,Nan,0.00,123.69,0.01,350.54,4.07,2.55,12.75
"2/24/2025 5:46:30 PM",Nan,Nan,0.00,146.31,0.02,330.64,4.07,2.55,12.73
"2/24/2025 5:48:30 PM",Nan,Nan,0.04,313.83,0.02,259.22,4.07,2.56,12.74
"2/24/2025 5:50:30 PM",Nan,Nan,0.01,291.80,0.01,354.29,4.07,2.56,12.73
"2/24/2025 5:52:30 PM",Nan,Nan,0.02,288.43,0.02,356.42,4.07,2.56,12.73
"2/24/2025 5:54:30 PM",Nan,Nan,0.01,265.24,0.02,296.57,4.07,2.56,12.73
"2/24/2025 5:56:30 PM",Nan,Nan,0.01,216.87,0.01,319.40,4.07,2.56,12.73
"2/24/2025 5:58:30 PM",Nan,Nan,0.01,270.00,0.04,295.87,4.07,2.57,12.73
"2/24/2025 6:00:30 PM",Nan,Nan,0.02,281.89,0.02,69.78,4.07,2.57,12.73
"2/24/2025 6:02:30 PM",Nan,Nan,0.02,307.87,0.01,296.57,4.07,2.58,12.73
"2/24/2025 6:04:30 PM",Nan,Nan,0.02,84.56,0.01,300.26,4.08,2.58,12.73
"2/24/2025 6:06:30 PM",Nan,Nan,0.00,0.00,0.01,195.95,4.08,2.59,12.73
"2/24/2025 6:08:30 PM",Nan,Nan,0.03,265.91,0.01,270.00,4.07,2.59,12.73
"2/24/2025 6:10:30 PM",Nan,Nan,0.04,234.90,0.02,235.01,4.07,2.60,12.73
"2/24/2025 6:12:30 PM",Nan,Nan,0.02,260.54,0.01,195.26,4.07,2.60,12.73
"2/24/2025 6:14:30 PM",Nan,Nan,0.02,17.35,0.02,273.18,4.07,2.60,12.73
"2/24/2025 6:16:30 PM",Nan,Nan,0.04,209.36,0.03,226.22,4.07,2.60,12.73
"2/24/2025 6:18:30 PM",Nan,Nan,0.02,227.29,0.02,174.29,4.07,2.60,12.73
"2/24/2025 6:20:30 PM",Nan,Nan,0.02,197.35,0.02,205.35,4.07,2.61,12.72
"2/24/2025 6:22:30 PM",Nan,Nan,0.01,33.69,0.04,216.61,4.07,2.61,12.72
"2/24/2025 6:24:30 PM",Nan,Nan,0.03,223.67,0.01,0.00,4.07,2.62,12.71
"2/24/2025 6:26:30 PM",Nan,Nan,0.01,291.04,0.01,114.44,4.08,2.62,12.71
"2/24/2025 6:28:30 PM",Nan,Nan,0.02,177.14,0.02,201.80,4.08,2.62,12.71
