%Eco Export
%
%
%Title,Demo Data
%
%Data ID,A34FB481-38CD-46CC-97B7-0990F7C13817
%User ID,43AA65E3-B02B-4388-87EF-CBDA831412DC
%Instrument ID,Eco_0016
%Firmware version,8005.0
%Created,"3/23/2020 7:00:21 PM",Local time
%Start Time,"3/9/2020 8:30:00 PM",Local time
%End time,"3/12/2020 11:05:00 PM",Local time
%Time zone offset,0,min
%Latitude,32.855522,deg
%Longitude,-117.262314,deg
%Magnetic declination,0,deg
%Salinity,35,ppt
%Device depth,11.85,m
%Upper layer depth,7.13,m
%middle-layer-depth,8.7,m
%Lower layer depth,10.27,m
%Avg speed,0.05,m/s
%Avg direction,172.18,deg
%Measurement counts,895
%Measurement interval,5,min
%Processor version,1.1.16.0,
%processed,"3/27/2025 10:17:03 AM",utc
%
%Time,Upper speed,Upper direction,Middle speed,Middle direction,Lower speed,Lower direction,Temperature,Depth,Tilt
%(Local time),m/s,deg,m/s,deg,m/s,deg,degC,m,deg
"3/9/2020 8:30:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,21.08,0.53,1.17
"3/9/2020 8:35:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,20.92,0.53,1.17
"3/9/2020 8:40:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,20.80,0.54,1.17
"3/9/2020 8:45:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,20.71,0.53,1.56
"3/9/2020 8:50:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,21.16,0.53,67.11
"3/9/2020 8:55:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,21.84,0.55,56.19
"3/9/2020 9:00:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,22.29,0.55,49.49
"3/9/2020 9:05:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,22.23,0.51,53.48
"3/9/2020 9:10:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,22.08,0.60,57.20
"3/9/2020 9:15:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,24.83,0.62,13.80
"3/9/2020 9:20:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,28.47,0.61,15.04
"3/9/2020 9:25:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,26.49,0.61,1.54
"3/9/2020 9:30:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,26.07,0.61,4.54
"3/9/2020 9:35:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,21.17,0.61,5.56
"3/9/2020 9:40:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,17.93,0.61,4.80
"3/9/2020 9:45:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,18.17,0.61,2.04
"3/9/2020 9:50:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,18.07,0.61,2.69
"3/9/2020 9:55:00 PM",Nan,Nan,Nan,Nan,Nan,Nan,17.47,5.63,4.59
"3/9/2020 10:00:00 PM",0.04,205.94,0.05,234.21,0.04,196.31,16.63,9.77,6.02
"3/9/2020 10:05:00 PM",0.02,255.07,0.03,230.71,0.04,210.47,16.52,9.77,5.99
"3/9/2020 10:10:00 PM",0.04,230.53,0.03,219.81,0.04,213.31,16.33,9.74,5.98
"3/9/2020 10:15:00 PM",0.02,209.05,0.03,290.56,0.03,280.30,16.25,9.72,5.96
"3/9/2020 10:20:00 PM",0.02,233.13,0.01,237.99,0.01,300.96,16.25,9.67,5.98
"3/9/2020 10:25:00 PM",0.02,187.43,0.02,235.30,0.02,8.13,16.24,9.66,5.96
"3/9/2020 10:30:00 PM",0.04,194.42,0.01,353.66,0.03,259.05,16.25,9.66,5.96
"3/9/2020 10:35:00 PM",0.01,118.61,0.01,356.19,0.02,293.20,16.23,9.63,5.94
"3/9/2020 10:40:00 PM",0.00,116.57,0.01,84.29,0.03,333.43,16.21,9.64,5.94
"3/9/2020 10:45:00 PM",0.01,135.00,0.01,270.00,0.03,311.99,16.17,9.63,5.93
"3/9/2020 10:50:00 PM",0.01,189.46,0.01,126.87,0.01,274.40,16.22,9.63,5.96
"3/9/2020 10:55:00 PM",0.03,55.30,0.01,279.46,0.00,341.57,16.18,9.63,5.94
"3/9/2020 11:00:00 PM",0.01,311.19,0.02,75.07,0.03,149.35,16.13,9.61,5.95
"3/9/2020 11:05:00 PM",0.02,68.20,0.03,76.43,0.01,255.96,16.09,9.59,5.96
"3/9/2020 11:10:00 PM",0.01,296.57,0.03,153.43,0.03,188.75,16.10,9.62,5.95
"3/9/2020 11:15:00 PM",0.01,240.95,0.00,0.00,0.02,232.43,16.10,9.63,5.94
"3/9/2020 11:20:00 PM",0.01,120.96,0.01,68.96,0.01,255.96,16.11,9.61,5.95
"3/9/2020 11:25:00 PM",0.01,302.01,0.01,270.00,0.02,291.80,16.14,9.63,5.94
"3/9/2020 11:30:00 PM",0.01,277.13,0.01,140.19,0.01,0.00,16.01,9.64,5.95
"3/9/2020 11:35:00 PM",0.01,254.05,0.01,270.00,0.02,186.34,15.96,9.65,5.92
"3/9/2020 11:40:00 PM",0.03,2.20,0.01,309.29,0.02,140.19,15.85,9.68,5.93
"3/9/2020 11:45:00 PM",0.01,345.96,0.03,355.91,0.02,288.43,16.01,9.68,5.93
"3/9/2020 11:50:00 PM",0.01,270.00,0.01,258.69,0.01,355.24,16.04,9.68,5.93
"3/9/2020 11:55:00 PM",0.02,25.46,0.01,288.43,0.01,7.13,16.09,9.70,5.93
"3/10/2020 12:00:00 AM",0.03,326.31,0.03,236.31,0.02,185.71,16.11,9.72,5.95
"3/10/2020 12:05:00 AM",0.01,180.00,0.02,135.00,0.03,137.49,15.90,9.72,5.96
"3/10/2020 12:10:00 AM",0.01,18.43,0.03,180.00,0.03,180.00,15.79,9.76,5.96
"3/10/2020 12:15:00 AM",0.03,175.43,0.02,212.91,0.03,148.39,15.61,9.77,5.94
"3/10/2020 12:20:00 AM",0.03,205.71,0.04,182.54,0.04,184.90,15.47,9.80,5.94
"3/10/2020 12:25:00 AM",0.04,180.00,0.04,178.57,0.03,208.30,15.32,9.82,5.94
"3/10/2020 12:30:00 AM",0.04,183.01,0.02,213.02,0.01,219.29,15.16,9.83,5.93
"3/10/2020 12:35:00 AM",0.04,172.50,0.04,164.62,0.01,204.44,15.09,9.86,5.92
"3/10/2020 12:40:00 AM",0.03,199.03,0.01,196.70,0.02,231.84,14.73,9.90,5.93
"3/10/2020 12:45:00 AM",0.07,166.37,0.04,183.01,0.03,219.29,14.43,9.93,5.90
"3/10/2020 12:50:00 AM",0.06,168.87,0.04,181.55,0.03,206.57,14.28,9.96,5.90
"3/10/2020 12:55:00 AM",0.04,175.24,0.02,226.97,0.01,213.69,14.24,9.99,5.92
"3/10/2020 1:00:00 AM",0.04,183.18,0.02,252.65,0.04,225.91,14.18,10.01,5.90
"3/10/2020 1:05:00 AM",0.03,182.05,0.03,217.57,0.06,187.13,14.09,10.05,5.92
"3/10/2020 1:10:00 AM",0.02,218.29,0.05,189.27,0.03,161.03,14.05,10.09,5.91
"3/10/2020 1:15:00 AM",0.03,173.88,0.05,200.70,0.05,167.59,13.98,10.11,5.92
"3/10/2020 1:20:00 AM",0.03,185.19,0.05,190.62,0.06,200.67,14.00,10.16,5.90
"3/10/2020 1:25:00 AM",0.03,169.88,0.04,184.18,0.02,176.42,14.01,10.17,5.90
"3/10/2020 1:30:00 AM",0.03,173.16,0.05,175.33,0.04,187.70,13.99,10.24,5.89
"3/10/2020 1:35:00 AM",0.04,194.04,0.04,165.96,0.03,149.74,13.95,10.28,5.89
"3/10/2020 1:40:00 AM",0.06,177.92,0.04,180.00,0.04,176.01,13.91,10.32,5.90
"3/10/2020 1:45:00 AM",0.03,178.21,0.04,187.59,0.04,199.36,13.89,10.37,5.90
"3/10/2020 1:50:00 AM",0.05,158.88,0.04,189.04,0.05,190.08,13.86,10.39,5.90
"3/10/2020 1:55:00 AM",0.04,161.57,0.04,165.62,0.07,175.60,13.85,10.43,5.89
"3/10/2020 2:00:00 AM",0.03,158.20,0.03,195.71,0.03,193.13,13.81,10.49,5.88
"3/10/2020 2:05:00 AM",0.02,187.43,0.01,131.19,0.03,178.21,13.74,10.52,5.89
"3/10/2020 2:10:00 AM",0.03,204.62,0.01,164.74,0.03,180.00,13.71,10.57,5.90
"3/10/2020 2:15:00 AM",0.00,296.57,0.03,154.98,0.04,147.99,13.68,10.61,5.88
"3/10/2020 2:20:00 AM",0.03,178.03,0.03,167.91,0.03,164.74,13.64,10.65,5.90
"3/10/2020 2:25:00 AM",0.03,175.60,0.01,147.53,0.04,199.44,13.50,10.69,5.90
"3/10/2020 2:30:00 AM",0.05,172.72,0.02,175.03,0.02,153.43,13.46,10.72,5.88
"3/10/2020 2:35:00 AM",0.05,156.80,0.04,197.93,0.04,176.99,13.44,10.77,5.88
"3/10/2020 2:40:00 AM",0.04,178.36,0.04,211.70,0.04,228.37,13.43,10.83,5.89
"3/10/2020 2:45:00 AM",0.02,173.99,0.01,169.70,0.02,218.16,13.43,10.86,5.87
"3/10/2020 2:50:00 AM",0.03,180.00,0.03,195.71,0.03,218.05,13.43,10.89,5.90
"3/10/2020 2:55:00 AM",0.02,168.69,0.00,270.00,0.04,245.22,13.45,10.95,5.87
"3/10/2020 3:00:00 AM",0.04,136.12,0.01,135.00,0.04,206.57,13.47,10.98,5.89
"3/10/2020 3:05:00 AM",0.03,116.57,0.01,213.69,0.05,241.29,13.45,11.01,5.90
"3/10/2020 3:10:00 AM",0.06,108.43,0.03,125.75,0.04,252.55,13.50,11.04,5.88
"3/10/2020 3:15:00 AM",0.05,105.07,0.04,126.57,0.02,287.35,13.71,11.06,5.89
"3/10/2020 3:20:00 AM",0.02,135.00,0.03,99.16,0.03,146.31,13.73,11.09,5.89
"3/10/2020 3:25:00 AM",0.03,159.44,0.03,205.77,0.03,250.97,13.73,11.13,5.90
"3/10/2020 3:30:00 AM",0.04,192.53,0.04,260.27,0.03,237.38,13.40,11.18,5.89
"3/10/2020 3:35:00 AM",0.02,255.96,0.03,310.60,0.00,255.96,13.35,11.20,5.90
"3/10/2020 3:40:00 AM",0.01,175.60,0.01,325.01,0.02,300.47,13.29,11.25,5.86
"3/10/2020 3:45:00 AM",0.02,173.99,0.03,276.34,0.05,293.36,13.46,11.27,5.87
"3/10/2020 3:50:00 AM",0.02,219.47,0.01,228.81,0.04,231.84,13.50,11.28,5.87
"3/10/2020 3:55:00 AM",0.02,210.96,0.02,339.44,0.03,303.11,13.35,11.32,5.87
"3/10/2020 4:00:00 AM",0.03,161.57,0.03,200.77,0.02,247.17,13.67,11.33,5.89
"3/10/2020 4:05:00 AM",0.02,107.35,0.01,270.00,0.04,231.84,13.75,11.35,5.88
"3/10/2020 4:10:00 AM",0.02,82.87,0.01,236.31,0.02,288.43,13.42,11.38,5.88
"3/10/2020 4:15:00 AM",0.01,120.96,0.04,268.67,0.02,288.43,13.20,11.43,5.90
"3/10/2020 4:20:00 AM",0.01,107.10,0.04,283.39,0.02,334.98,13.21,11.45,5.88
"3/10/2020 4:25:00 AM",0.01,273.81,0.08,277.59,0.04,289.98,13.23,11.45,5.88
"3/10/2020 4:30:00 AM",0.02,356.99,0.04,295.41,0.04,294.86,13.27,11.47,5.90
"3/10/2020 4:35:00 AM",0.02,15.26,0.02,244.98,0.05,271.17,13.46,11.51,5.88
"3/10/2020 4:40:00 AM",0.05,28.01,0.03,326.82,0.04,297.30,14.50,11.50,5.89
"3/10/2020 4:45:00 AM",0.03,10.62,0.01,326.31,0.04,321.55,14.20,11.52,5.91
"3/10/2020 4:50:00 AM",0.09,7.77,0.08,320.81,0.10,307.33,14.40,11.52,5.92
"3/10/2020 4:55:00 AM",0.07,49.40,0.05,16.26,0.05,346.24,14.76,11.55,5.90
